id;V-id_video;V-content;V-norm_bitrate;V-complexity;V-complexity_class;QoA_VLCresolution;QoA_VLCcaching;QoA_VLCbitrate;QoA_VLCframerate;QoA_VLCdropped;QoA_VLCaudiorate;QoA_VLCaudioloss; QoA_BUFFERINGtime;QoD_screen_size;id_user;QoU_age;QoU_sex;mos
275;83;Games;12.853567398049956;8.065626757294797;3;360;800;705.6666667;29.74074074;0;53.66666667;2;1061.65;1920x1200;62;24;men;4
276;72;Movies;8.76286260877581;6.855607291109794;1;1080;1000;2800.111111;29.77777778;0;43.7037037;1;1194.661;1920x1200;47;22;women;4
277;71;Movies;5.412066549907106;5.333550023964247;0;240;200;186.3333333;30;0;38.37037037;2;952.543;1366 x 768;44;23;men;1
279;82;Games;10.224898994402672;7.342974738675389;2;360;200;1084.333333;29.55555556;0;67.85185185;3;1190.065;1920x1200;59;23;women;3
280;52;Cartoons;7.801982650121881;6.488763492380295;1;1080;2000;2978.222222;30.07407407;1;44.03703704;1;1449.972;1920x1200;34;20;men;5
281;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;3410;0;0;0;3;519.326;1920x1200;51;25;men;1
282;32;Documentary;12.654185676416692;8.016248746371058;3;144;100;84.88888889;1.37037037;17.44444444;21.85185185;0;2423.018;1920x1200;22;23;men;1
283;63;Lessons;2.182599744841972;2.4652661825137927;0;480;400;461;0;0;0;3;451.599;1366 x 768;42;28;men;1
284;21;Sports;17.37365140192851;9.01738984183051;3;360;200;2701;1.148148148;0;1.666666667;2;813.978;1920x1200;9;25;men;1
285;72;Movies;8.76286260877581;6.855607291109794;1;360;200;567;0;0;0;3;659.131;1920x1200;47;22;women;1
286;51;Cartoons;5.227554283505409;5.223989463820752;0;480;400;1193.111111;29.62962963;0;60.25925926;3;1208.672;1366 x 768;32;23;men;4
287;21;Sports;17.37365140192851;9.01738984183051;3;720;400;2964;28.96296296;4.777777778;43.2962963;11.88888889;2480.13;1920x1200;9;25;men;3
288;13;News;5.411190697380056;5.333038831296158;0;1080;1000;3318.777778;29.77777778;0;43.7037037;1;1082.026;1920x1200;7;21;women;5
290;82;Games;10.224898994402672;7.342974738675389;2;360;200;1071.666667;30.92592593;0;57.51851852;3;1735.075;1920x1200;59;23;women;4
291;63;Lessons;2.182599744841972;2.4652661825137927;0;240;1000;377.4444444;30.14814815;0;38.48148148;2;1233.083;1366 x 768;42;28;men;3
292;23;Sports;9.88465928124628;7.236085120119441;2;480;400;310.1111111;31.07407407;0;61.7037037;3;2181.749;1920x1200;15;30;women;4
293;13;News;5.411190697380056;5.333038831296158;0;144;100;90.88888889;1.222222222;18.22222222;21.85185185;0;921.844;1920x1200;7;21;women;1
294;22;Sports;18.99129562519022;9.298578866975943;3;480;400;886.1111111;29.59259259;0;45.18518519;3;2662.923;1920x1200;13;26;men;3
295;52;Cartoons;7.801982650121881;6.488763492380295;1;720;400;1894.555556;15.07407407;33.77777778;22.66666667;11;1208.533;1920x1200;34;20;men;1
